City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,26.49,75,19,42.77,few clouds
1,Hithadhoo,MV,-0.6,73.0833,82.24,70,64,5.17,broken clouds
2,Portland,US,45.5234,-122.6762,75.0,23,20,8.05,few clouds
3,Talnakh,RU,69.4865,88.3972,-12.08,95,100,20.67,overcast clouds
4,Kastrakion,GR,39.7156,21.6181,37.0,79,26,1.57,scattered clouds
5,Lavrentiya,RU,65.5833,-171.0,16.92,89,75,6.82,broken clouds
6,Haines Junction,CA,60.7522,-137.5108,46.4,36,86,6.91,overcast clouds
7,Aklavik,CA,68.2191,-135.0107,23.0,68,75,11.5,broken clouds
8,Busselton,AU,-33.65,115.3333,55.0,94,73,8.34,broken clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,65,0,6.91,clear sky
10,Severo-Kurilsk,RU,50.6789,156.125,30.38,66,51,18.05,broken clouds
11,Yellowknife,CA,62.456,-114.3525,41.0,52,20,17.27,few clouds
12,Gazojak,TM,41.1875,61.4036,62.42,21,39,5.48,scattered clouds
13,Kirakira,SB,-10.4544,161.9205,84.0,74,23,6.11,few clouds
14,Vestmannaeyjar,IS,63.4427,-20.2734,46.67,96,100,30.82,overcast clouds
15,Bluff,NZ,-46.6,168.3333,51.01,89,89,8.99,light rain
16,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,1.14,light rain
17,Carutapera,BR,-1.195,-46.02,76.91,92,100,6.76,overcast clouds
18,Isangel,VU,-19.55,169.2667,82.54,76,20,4.25,few clouds
19,Cape Town,ZA,-33.9258,18.4232,66.2,68,0,11.5,clear sky
20,Sovetskaya,RU,44.7769,41.1722,47.5,92,55,5.86,broken clouds
21,Kaitong,CN,44.8135,123.15,42.96,69,91,19.42,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,51.8,46,40,14.97,scattered clouds
23,Termiz,UZ,37.2242,67.2783,64.4,55,0,4.61,clear sky
24,Torbay,CA,47.6666,-52.7314,33.01,100,90,19.57,light snow
25,Mayo,US,38.8876,-76.5119,62.6,39,40,11.5,scattered clouds
26,Wajima,JP,37.4,136.9,51.57,65,8,9.44,clear sky
27,Hilo,US,19.7297,-155.09,78.8,53,90,5.75,overcast clouds
28,Belmonte,BR,-15.8631,-38.8828,77.0,65,40,6.91,scattered clouds
29,Ilulissat,GL,69.2167,-51.1,12.2,62,75,6.91,broken clouds
30,Port Alfred,ZA,-33.5906,26.891,65.91,55,96,22.21,overcast clouds
31,Nouadhibou,MR,20.931,-17.0347,66.2,88,0,19.57,clear sky
32,Chuy,UY,-33.6971,-53.4616,66.52,93,100,4.07,overcast clouds
33,Olga,RU,43.7444,135.2892,40.75,88,100,6.02,overcast clouds
34,Bolong,PH,7.0983,122.2392,75.2,94,40,2.3,scattered clouds
35,Saint Anthony,US,45.0205,-93.218,51.8,57,90,8.05,overcast clouds
36,Roald,NO,62.5833,6.1333,37.4,93,0,3.44,clear sky
37,Nikolskoye,RU,59.7035,30.7861,41.0,45,0,11.18,clear sky
38,Marrakesh,MA,31.6315,-8.0083,64.4,68,40,11.5,scattered clouds
39,Sile,TR,41.1754,29.6133,52.0,87,40,10.36,scattered clouds
40,Ternate,ID,0.8,127.4,80.89,78,100,8.12,overcast clouds
41,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,20,14.97,few clouds
42,Airai,TL,-8.9266,125.4092,56.86,77,83,2.53,broken clouds
43,Lompoc,US,34.6391,-120.4579,61.0,72,6,17.27,clear sky
44,Kathmandu,NP,27.7167,85.3167,62.6,55,75,3.67,broken clouds
45,Dankov,RU,53.2515,39.1555,51.01,61,100,4.99,light rain
46,Point Fortin,TT,10.1833,-61.6833,84.0,78,94,1.99,overcast clouds
47,San Patricio,US,28.017,-97.5169,71.01,100,90,20.71,light intensity drizzle
48,Rincon,US,32.296,-81.2354,73.4,60,90,12.66,overcast clouds
49,Rikitea,PF,-23.1203,-134.9692,78.13,72,75,7.49,broken clouds
50,Arrecife,ES,28.963,-13.5477,68.0,73,20,13.8,few clouds
51,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,5.75,light rain
52,Muros,ES,42.7762,-9.0603,52.0,52,3,5.99,clear sky
53,Kapaa,US,22.0752,-159.319,77.0,73,90,9.22,light rain
54,Thompson,CA,55.7435,-97.8558,46.4,18,75,2.3,broken clouds
55,Port Elizabeth,ZA,-33.918,25.5701,62.6,77,90,9.22,overcast clouds
56,Fort Nelson,CA,58.8053,-122.7002,62.6,27,20,4.61,few clouds
57,Sharjah,AE,25.3573,55.4033,80.6,57,0,5.75,clear sky
58,Royan,FR,45.6285,-1.0281,46.4,42,0,10.36,clear sky
59,Roanoke Rapids,US,36.4615,-77.6542,68.0,63,40,8.05,scattered clouds
60,Nelson Bay,AU,-32.7167,152.15,60.01,82,75,5.75,broken clouds
61,Ribeira Grande,PT,38.5167,-28.7,62.6,88,40,5.75,scattered clouds
62,Srednekolymsk,RU,67.45,153.6833,11.77,89,100,7.9,overcast clouds
63,Butaritari,KI,3.0707,172.7902,82.38,74,100,9.69,overcast clouds
64,Ancud,CL,-41.8697,-73.8203,55.4,76,40,3.44,scattered clouds
65,Bethel,US,41.3712,-73.414,51.8,82,90,6.91,moderate rain
66,Mataura,NZ,-46.1927,168.8643,50.0,89,87,7.0,overcast clouds
67,Bam,IR,29.106,58.357,66.25,47,17,1.12,few clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,90,17.27,snow
69,Codrington,AU,-38.2667,141.9667,54.61,57,100,7.43,overcast clouds
70,Karratha,AU,-20.7377,116.8463,78.46,48,0,15.46,clear sky
71,Bulancak,TR,40.9372,38.2291,50.0,100,0,5.75,clear sky
72,Nishihara,JP,26.1842,127.7558,68.0,94,75,9.22,broken clouds
73,Vaini,TO,-21.2,-175.2,78.8,78,20,10.36,few clouds
74,Rognan,NO,67.0953,15.3878,42.01,93,100,5.08,overcast clouds
75,Chapais,CA,49.7834,-74.8492,60.8,14,1,8.05,clear sky
76,Hobart,AU,-42.8794,147.3294,46.99,66,20,12.66,few clouds
77,Avarua,CK,-21.2078,-159.775,82.4,69,20,9.22,few clouds
78,Birsk,RU,55.4211,55.5428,49.78,71,64,2.53,broken clouds
79,Alofi,NU,-19.0595,-169.9187,82.4,65,20,5.75,few clouds
80,Sorland,NO,67.667,12.6934,41.11,92,75,15.93,broken clouds
81,El Alto,PE,-4.2714,-81.2147,80.6,65,40,13.8,scattered clouds
82,East London,ZA,-33.0153,27.9116,66.58,61,100,21.65,overcast clouds
83,Valleyview,CA,55.0667,-117.2859,64.4,22,8,2.3,clear sky
84,Calintaan,PH,12.5667,120.9333,77.86,78,98,3.76,overcast clouds
85,Sinnamary,GF,5.3833,-52.95,78.55,85,95,14.45,overcast clouds
86,Port Blair,IN,11.6667,92.75,82.02,73,99,5.08,overcast clouds
87,Albany,US,42.6001,-73.9662,45.0,74,100,6.64,moderate rain
88,Ushtobe,KZ,45.2514,77.9838,49.41,38,2,8.81,clear sky
89,Pinawa,CA,50.1489,-95.8811,44.71,71,92,5.77,overcast clouds
90,Carnarvon,AU,-24.8667,113.6333,73.17,30,0,15.3,clear sky
91,Takoradi,GH,4.8845,-1.7554,81.45,81,8,8.57,clear sky
92,Ketchikan,US,55.3422,-131.6461,57.04,55,21,4.99,few clouds
93,Atasu,KZ,48.6814,71.6433,48.49,49,0,8.88,clear sky
94,Sambalpur,IN,21.45,83.9667,74.84,47,2,2.62,clear sky
95,Mahebourg,MU,-20.4081,57.7,77.0,94,75,1.14,light rain
96,Chokurdakh,RU,70.6333,147.9167,-10.95,97,60,2.06,broken clouds
97,Camacha,PT,33.0833,-16.3333,64.4,77,40,13.8,scattered clouds
98,Saucillo,MX,28.0167,-105.2833,89.13,4,100,15.08,overcast clouds
99,Iqaluit,CA,63.7506,-68.5145,8.6,72,75,17.27,broken clouds
100,Clyde River,CA,70.4692,-68.5914,6.8,78,20,25.32,snow
101,Sao Filipe,CV,14.8961,-24.4956,72.07,76,0,15.03,clear sky
102,Maumere,ID,-8.6199,122.2111,76.96,78,58,4.07,broken clouds
103,Washougal,US,45.5826,-122.3534,75.0,23,1,18.41,clear sky
104,Lagoa,PT,39.05,-27.9833,62.58,82,55,6.22,broken clouds
105,Stulovo,RU,58.7225,50.1439,36.07,77,99,8.41,overcast clouds
106,Longyearbyen,SJ,78.2186,15.6401,21.2,68,90,6.91,light snow
107,Atuona,PF,-9.8,-139.0333,80.8,68,23,17.25,few clouds
108,Jamestown,US,42.097,-79.2353,39.99,65,90,12.66,overcast clouds
109,Guiyang,CN,26.5833,106.7167,53.6,100,90,4.47,overcast clouds
110,Lengshuitan,CN,26.4111,111.5956,60.6,95,100,0.87,light rain
111,Narsaq,GL,60.9167,-46.05,33.8,40,40,19.57,scattered clouds
112,Sitka,US,57.0531,-135.33,46.4,81,75,3.44,broken clouds
113,Faanui,PF,-16.4833,-151.75,82.45,73,41,12.37,scattered clouds
114,Southbridge,US,42.0751,-72.0334,43.0,95,100,1.01,moderate rain
115,Georgetown,MY,5.4112,100.3354,78.8,89,40,4.61,light rain
116,Straumen,NO,63.8709,11.2999,42.01,87,20,6.91,few clouds
117,Raub,MY,3.7899,101.857,72.52,97,84,1.25,broken clouds
118,Svoge,BG,42.9667,23.35,35.01,75,0,5.75,clear sky
119,Bairiki,KI,1.3292,172.9752,84.2,74,40,6.91,scattered clouds
120,Cabra,ES,37.4725,-4.4421,57.2,94,0,4.61,clear sky
121,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,5.75,light rain
122,Provideniya,RU,64.3833,-173.3,21.2,68,40,8.95,scattered clouds
123,Bereda,ES,43.2686,-7.5406,42.01,89,1,10.0,clear sky
124,Tautira,PF,-17.7333,-149.15,87.8,66,40,14.97,light rain
125,San Andres Del Rabanedo,ES,42.6117,-5.6167,42.8,49,0,3.44,clear sky
126,Geraldton,AU,-28.7667,114.6,62.6,55,4,10.36,clear sky
127,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,75,9.22,light rain
128,Bagamoyo,TZ,-6.4333,38.9,73.54,95,100,6.69,light rain
129,Coahuayana,MX,18.7333,-103.6833,87.8,48,1,5.75,clear sky
130,Saiha,IN,22.4833,92.9667,68.07,56,100,2.91,overcast clouds
131,Luderitz,NA,-26.6481,15.1594,78.67,29,76,6.11,broken clouds
132,Biak,ID,-0.9131,122.8766,75.11,81,100,4.32,overcast clouds
133,Kahului,US,20.8947,-156.47,80.6,57,40,14.97,scattered clouds
134,Beisfjord,NO,68.3751,17.5988,41.0,93,90,4.61,overcast clouds
135,Kaitangata,NZ,-46.2817,169.8464,51.04,81,60,5.57,light rain
136,Umm Lajj,SA,25.0213,37.2685,79.75,36,0,5.12,clear sky
137,Esperance,AU,-33.8667,121.9,50.0,93,17,5.75,few clouds
138,Maarianhamina,AX,60.0973,19.9348,32.0,80,0,4.61,clear sky
139,Turukhansk,RU,65.8167,87.9833,4.96,90,100,17.94,overcast clouds
140,Barrow,US,71.2906,-156.7887,10.4,79,90,6.91,overcast clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,69.01,77,0,9.22,clear sky
142,Bowen,AU,-20.0167,148.2333,66.2,94,40,8.25,scattered clouds
143,Komsomolskiy,UZ,40.4272,71.7189,57.2,58,73,2.3,broken clouds
144,Dingle,PH,10.9995,122.6711,76.44,89,100,5.17,heavy intensity rain
145,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.21,85,100,5.08,overcast clouds
146,Chabahar,IR,25.2919,60.643,80.51,74,22,6.87,few clouds
147,Thinadhoo,MV,0.5333,72.9333,82.6,67,67,7.81,broken clouds
148,Lismore,AU,-28.8135,153.2773,64.0,94,7,2.28,clear sky
149,Lahij,YE,13.1667,44.5833,76.84,59,2,3.83,clear sky
150,Wagga Wagga,AU,-35.1167,147.3667,41.0,93,57,3.74,broken clouds
151,Castro,BR,-24.7911,-50.0119,62.82,79,91,7.29,overcast clouds
152,Ende,ID,-8.8432,121.6623,73.9,80,61,2.73,broken clouds
153,Konevo,RU,62.1215,39.3192,31.96,79,0,0.85,clear sky
154,Upernavik,GL,72.7868,-56.1549,-7.78,94,100,2.57,overcast clouds
155,Caucaguita,VE,10.3578,-66.8025,84.2,74,75,5.75,drizzle
156,Cabo San Lucas,MX,22.8909,-109.9124,86.0,21,40,14.97,scattered clouds
157,Qaanaaq,GL,77.484,-69.3632,1.74,70,5,4.54,clear sky
158,Hofn,IS,64.2539,-15.2082,45.41,96,100,24.09,heavy intensity rain
159,San Cristobal,VE,7.7669,-72.225,86.0,62,40,8.05,scattered clouds
160,Salalah,OM,17.0151,54.0924,80.6,78,0,4.61,clear sky
161,Punta Arenas,CL,-53.15,-70.9167,51.8,71,40,9.22,scattered clouds
162,Rohru,IN,31.2167,77.75,53.08,47,13,5.01,few clouds
163,Hermanus,ZA,-34.4187,19.2345,64.99,71,8,8.01,clear sky
164,Fairbanks,US,64.8378,-147.7164,48.2,42,40,0.38,scattered clouds
165,New Norfolk,AU,-42.7826,147.0587,46.99,85,37,3.0,scattered clouds
166,Mango,US,27.9797,-82.3065,79.0,69,40,4.61,scattered clouds
167,Westport,US,41.1415,-73.3579,46.4,93,90,20.71,heavy intensity rain
168,Mandalgovi,MN,45.7625,106.2708,23.25,61,35,19.75,scattered clouds
169,Kavieng,PG,-2.5744,150.7967,81.14,79,100,6.98,light rain
170,Mount Gambier,AU,-37.8333,140.7667,48.2,87,90,6.91,overcast clouds
171,Bengkulu,ID,-3.8004,102.2655,72.99,92,100,6.71,overcast clouds
172,Filingue,NE,14.3521,3.3168,87.6,9,8,7.4,clear sky
173,Bredasdorp,ZA,-34.5322,20.0403,64.4,59,19,12.66,few clouds
174,Khatanga,RU,71.9667,102.5,12.45,94,100,12.88,light snow
175,Ahuimanu,US,21.4447,-157.8378,80.6,57,40,8.05,scattered clouds
176,Grants,US,35.1473,-107.8514,64.4,7,1,19.57,clear sky
177,Mbanza-Ngungu,CD,-5.25,14.8667,68.52,95,100,3.02,light rain
178,Eganville,CA,45.5334,-77.0994,46.99,87,90,5.75,overcast clouds
179,Pisco,PE,-13.7,-76.2167,71.6,73,0,20.71,clear sky
180,Sioux Lookout,CA,50.1001,-91.917,46.4,39,40,5.75,scattered clouds
181,Tiksi,RU,71.6872,128.8694,-2.16,99,95,2.04,overcast clouds
182,Gargzdai,LT,55.7128,21.4033,42.8,45,0,12.66,light rain
183,Uvalde,US,29.3669,-99.767,68.0,94,90,11.5,overcast clouds
184,Ust-Kuyga,RU,70.0167,135.6,-0.62,99,100,5.1,overcast clouds
185,Qaqortoq,GL,60.7167,-46.0333,33.8,40,40,19.57,scattered clouds
186,Asyut,EG,27.181,31.1837,71.6,37,0,10.36,clear sky
187,Tessalit,ML,20.1986,1.0114,91.27,7,63,7.38,broken clouds
188,Udachnyy,RU,66.4167,112.4,20.62,93,100,19.46,light snow
189,Homer,US,59.6425,-151.5483,41.0,81,90,7.54,overcast clouds
190,Indiaroba,BR,-11.5192,-37.5117,74.57,85,86,3.94,overcast clouds
191,Leningradskiy,RU,69.3833,178.4167,26.02,83,100,9.86,overcast clouds
192,Hamilton,US,39.1834,-84.5333,53.6,40,90,10.36,overcast clouds
193,Beira,MZ,-19.8436,34.8389,75.2,78,20,4.16,few clouds
194,Eureka,US,40.8021,-124.1637,61.0,67,6,8.01,clear sky
195,Barcelos,PT,41.5388,-8.6151,62.01,88,0,1.01,clear sky
196,Porosozero,RU,62.7191,32.727,28.76,92,0,0.49,clear sky
197,Kuala Sungai Baru,MY,2.3594,102.0353,77.0,94,20,1.14,light rain
198,Saldanha,ZA,-33.0117,17.9442,69.8,56,46,5.75,scattered clouds
199,Hami,CN,42.8,93.45,50.68,16,29,7.74,scattered clouds
200,Ambulu,ID,-8.345,113.6058,73.29,91,51,3.2,broken clouds
201,Lokomotivnyy,RU,53.0118,60.5684,46.54,64,100,6.42,overcast clouds
202,Ankazoabo,MG,-22.2833,44.5167,68.45,91,1,6.02,clear sky
203,Anadyr,RU,64.75,177.4833,23.0,80,40,24.61,snow
204,Baker City,US,44.7749,-117.8344,60.01,25,1,9.22,clear sky
205,Patharia,IN,23.9,79.2,80.17,31,15,8.88,few clouds
206,Ranong,TH,9.9658,98.6348,79.95,83,79,4.05,broken clouds
207,Scottsbluff,US,41.8666,-103.6672,33.8,86,90,11.5,snow
208,Bilibino,RU,68.0546,166.4372,13.77,86,100,3.58,overcast clouds
209,Sena Madureira,BR,-9.0656,-68.6569,77.45,92,97,2.33,overcast clouds
210,Funadhoo,MV,6.15,73.2667,82.35,74,99,4.83,heavy intensity rain
211,Emporia,US,38.4039,-96.1817,59.0,36,1,10.36,clear sky
212,Kloulklubed,PW,7.0419,134.2556,73.4,94,90,37.98,heavy intensity rain
213,Makushino,RU,55.2103,67.2442,44.73,76,69,9.31,broken clouds
214,Vanimo,PG,-2.6741,141.3028,78.37,86,92,3.69,overcast clouds
215,Plettenberg Bay,ZA,-34.0527,23.3716,61.56,75,100,9.95,overcast clouds
216,Cabedelo,BR,-6.9811,-34.8339,77.0,94,75,5.75,broken clouds
217,Curaca,BR,-8.9903,-39.9094,82.29,50,100,16.08,overcast clouds
218,Ostrovnoy,RU,68.0531,39.5131,27.7,92,99,4.99,overcast clouds
219,Xuddur,SO,4.1213,43.8894,77.61,68,89,11.95,overcast clouds
220,Menongue,AO,-14.6585,17.691,62.29,90,87,1.81,light rain
221,Batagay-Alyta,RU,67.8006,130.4114,-1.98,87,77,3.94,broken clouds
222,Andenes,NO,69.3143,16.1194,39.2,81,51,19.57,broken clouds
223,Kodiak,US,57.79,-152.4072,42.8,81,90,9.22,light rain
224,Port-Gentil,GA,-0.7193,8.7815,82.4,89,20,6.91,few clouds
225,Kayerkan,RU,69.3497,87.7602,-14.4,97,100,14.74,overcast clouds
226,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,100,75,18.37,light snow
227,Puerto Quijarro,BO,-17.7833,-57.7667,80.04,63,33,3.24,scattered clouds
228,Yershov,RU,51.3513,48.2766,54.88,53,100,8.43,overcast clouds
229,Sarangani,PH,5.4033,125.4636,81.57,79,100,10.63,overcast clouds
230,Tasiilaq,GL,65.6145,-37.6368,26.6,86,90,19.57,snow
